key,ko,en,jp
MY_PFP_LIST_WARNING,"이제 막 민팅한 프로젝트의 경우, 이곳이 아닌 해당 PFP 화면으로 이동해 내 PFP 목록을 확인해주세요."
ADD_ARITST_BUTTON,작가 등록
HOME_TITLE,Klaytn based NFT marketplace with MIX
MY_INFO_TITLE,내 정보
MY_ADD_ARTS_TITLE,내가 등록한 작품들
MY_ARTS_BUTTON,내 Arts
MY_ARTS_TITLE,내 Arts
MY_SELLING_ARTS_TITLE,내가 판매중인 Arts
MY_BIDDING_ARTS_TITLE,내가 경매 진행중인 Arts
MY_OFFER_ARTS_TITLE,내가 가격을 제시한 Arts
MY_ARTS_LIST_TITLE,내 Arts 목록
USER_INFO_TITLE,유저 정보
WALLET_ADDRESS,지갑 주소
UPDATE_PFP_INFO_TITLE,PFP 정보 수정
UPDATE_PFP_INFO_BUTTON,PFP 정보 수정
UPDATE_BASE_INFO_TITLE,기본 정보 수정
BANNER_IMAGE_ADDRESS_INPUT,배너 이미지 주소
BANNER_UPLOAD_INPUT,배너 업로드
ICON_IMAGE_ADDRESS_INPUT,아이콘 이미지 주소
ICON_UPLOAD_INPUT,아이콘 업로드
NAME_INPUT,이름
INTRODUCTION_INPUT,소개글
INTRODUCTION_MARKDOWN_DESCRIPTION,소개글은 마크다운 문법을 사용합니다.
INTRODUCTION_MARKDOWN_BUTTON,마크다운 문법 보기
OPEN_KAKAO_INPUT,오픈 카카오톡 주소
TWITTER_INPUT,트위터 주소
MINING_INPUT,채굴 가능 여부
MINING_INPUT_DESCRIPTION,PFP 프로젝트가 채굴이 가능한지 설정합니다.
MINING_PFP,채굴 가능한 PFP
MINING_PFP_DESCRIPTION,채굴 가능한 PFP입니다. 클릭하시면 자세한 정보를 확인하실 수 있습니다.
MINING_INFO_URL_INPUT,채굴 정보 URL
MINING_INFO_URL_INPUT_DESCRIPTION,채굴 정보를 확인할 수 있는 페이지의 URL을 기입합니다.
HIDE_KLUBS_INPUT,Klubs에서 숨기기
SAVE_INFO_BUTTON,정보 저장
SAVE_DONE_TITLE,저장 완료
SAVE_DONE_DESCRIPTION,정보를 저장했습니다.
ISSUE_REVISE_INFO_TITLE,발행량 정보 수정
IS_KIP17_FULL_OR_KIP17ENUMERABLE_INPUT,KIP17Full 혹은 KIP17Enumerable 상속 여부
IS_KIP17_FULL_OR_KIP17ENUMERABLE_DESCRIPTION,"KIP17Full 혹은 KIP17Enumerable를 상속하신 경우, 총 발행량 정보를 매번 입력하지 않으셔도 됩니다."
TOTAL_ISSUE_INPUT,총 발행량
REVISE_2ND_SALES_FEE_INFO_FORM,2차 판매 수수료 정보 수정
2ND_SALES_FEE_RATIO_INPUT,2차 판매 수수료 비율(%)
2ND_SALES_FEE_RATIO_DESCRIPTION,"2차 판매 수수료 비율은 최대 10%까지 설정하실 수 있으며, 소수점 2번째 자리까지 지정 가능합니다."
2ND_SALES_FEE_RECIPIENT_INPUT,2차 판매 수수료 수령자
2ND_SALES_FEE_RECIPIENT_DESCRIPTION,2차 판매 수수료를 받을 지갑 주소를 입력합니다.
MANAGE_MANAGER_FORM,매니저 관리
ADD_MANAGER_BUTTON,매니저 추가
ADD_MANAGER_TITLE,매니저 추가
ADD_BUTTON,추가하기
ADD_MANAGER_PROMPT_DESCRIPTION,추가할 매니저의 지갑 주소를 입력해주시기 바랍니다.
WAITING_PFP_INFO_TITLE,등록을 기다리는 PFP 정보
NFT_DETAIL_TITLE,NFT 상세정보
SELLER,"판매자 "
TRANSFER_BUTTON,전송하기
TRANSFER_TITLE,전송하기
TRANSFER_DESCRIPTION,"전송받을 지갑 주소를 입력해주시기 바랍니다. 전송이 완료되면 절대 되찾을 수 없으니, 지갑 주소를 여러번 확인하시기 바랍니다."
SELL_IT_BUTTON,판매하기
SELL_IT_TITLE,판매하기
CANCEL_SELL_BUTTON,판매 취소
BUY_IT_BUTTON,구매하기
BUY_IT_TITLE,구매하기
ACCEPT_OFFER_BUTTON,제안 수락
FORCE_CANCEL_OFFER_BUTTON,강제 제안 취소
ENDED_AUCTION_DESCRIPTION,경매 종료됨
END_AUCTION_REMAINS,경매 종료까지 {n}블록 남음
END_AUCTION_BUTTON,경매 종료
BID_IT_BUTTON,입찰하기
BID_IT_TITLE,입찰하기
START_AUCTION_BUTTON,경매 시작하기
START_AUCTION_TITLE,경매 시작하기
ADD_OWNER_PFP_TITLE,Owner로부터 PFP 등록
ADD_PFP_PROJECT_TITLE,PFP 프로젝트 등록
ADD_MANAGER_PFP_TITLE,관리자 PFP 등록
PFP_REGISTER_TITLE,PFP 등록
PFP_DETAIL_INFO_TITLE,PFP 상세정보
REVISION_ARTIST_BUTTON,작가 정보 수정
REVISION_ARTIST_TITLE,작가 정보 수정
ARTIST_NAME_INPUT,작가명
ARTIST_INTRODUCE_INPUT,작가 소개
REVISION_ART_INFO_TITLE,작품 정보 수정
ART_IMAGE_ADDRESS_INPUT,작품 이미지 주소
ART_UPLOAD_INPUT,작품 업로드
ART_UPLOAD_DESCRIPTION,현재 이미지 파일만 업로드 가능합니다. 추후 비디오/오디오 및 3D 모델 업로드도 가능해질 예정입니다.
ART_NAME_INPUT,작품명
ART_PRESENT_INPUT,작품 소개
EXTERNAL_LINK_INPUT,외부 링크
SETTING_ARTIST_BASE_SALES_FEE_INPUT,작가 기본 판매 수수료로 설정
SETTING_ARTIST_BASE_SALES_FEE_DESCRIPTION,작가가 설정한 기본 판매 수수료로 설정합니다.
ART_DELETE_BUTTON,작품 삭제
ART_DELETE_TITLE,작품 삭제
ART_DELETE_DESCRIPTION,정말 작품을 삭제하시겠습니까? 이 작업은 돌이킬 수 없습니다.
ART_DELETE_DONE_TITLE,작가 삭제 완료
ART_DELETE_DONE_DESCRIPTION,작품이 삭제되었습니다.
REVISION_IT_BUTTON,수정하기
ADD_KLUBS_ARTISTS_TITLE,Klubs Arts 작가 등록
ADD_KLUBS_ARTISTS_DESCRIPTION,Klubs Arts 작가로 등록합니다.
FAIL_ARTIST_REGISTER_TITLE,작가 등록 실패
FAIL_ARTIST_REGISTER_DESCRIPTION,해당 지갑은 이미 작가로 등록되어있습니다.
SUCCESS_ARTIST_REGISTER_TITLE,작가 등록 완료
SUCCESS_ARTIST_REGISTER_DESCRIPTION,작가 등록이 완료되었습니다.\n작가들의 의견에 귀를 기울이겠습니다.\nKlubs에 오신 것을 환영합니다.
ADD_ART_BUTTON,작품 등록
ADD_ART_TITLE,작품 등록
CREATE_IT_BUTTON,생성하기
ADD_ART_CONFIRM,작품 정보를 생성하시겠습니까?
PFP_INFOS_TITLE,PFP 정보들
